ReceiptNo,Replen_Balance_Order,Cust_Sys_No,Allocated_Part,EDI_Order_Type,ShipFromCode,ShipToCode,Country,Quantity,PutAwayDate,InventoryDate,FY,Quarter,Month,Week,OrderType,Count_PO
CS-DIRKWJ-RC0000291,829124419,829124419,KMWW8,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-07 16:55:25,2024-02-07,FY25,Q1,02,WK01,P3,1
CS-DIRKWJ-RC0000292,830538904,830538904,5G4WK,BALANCE-IN,DIRTAJ,DIRKWJ,KR,1,2024-02-08 09:21:40,2024-02-08,FY25,Q1,02,WK01,P3,1
CS-DIRKWJ-RC0000293,829122967,829122967,0878M,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-08 11:54:23,2024-02-08,FY25,Q1,02,WK01,P3,1
CS-DIRKWJ-RC0000294,829122983,829122983,24PW1,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-08 12:26:19,2024-02-08,FY25,Q1,02,WK01,P3,1
CS-DIRKWJ-RC0000295,829653540,829653540,MT0R5,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-13 13:21:15,2024-02-13,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000296,830413793,830413793,YCVFG,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-14 11:37:39,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000296,830413926,830413926,V0THP,REPLEN-IN,CHSIN4,DIRKWJ,KR,2,2024-02-14 11:37:39,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000296,830417968,830417968,753F0,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-14 11:37:39,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000296,830426167,830426167,JWV1P,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-14 11:37:39,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000297,830432611,830432611,TCW38,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-14 11:38:23,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000298,830424915,830424915,5RHVV,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-14 11:39:24,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000299,830415053,830415053,MT0R5,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-14 11:40:46,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000299,830426381,830426381,7XTY8,REPLEN-IN,CHSIN4,DIRKWJ,KR,2,2024-02-14 11:40:46,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000300,830541791,830541791,24FG6,BALANCE-IN,CHHKG1,DIRKWJ,KR,1,2024-02-14 11:41:39,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000301,831434558,831434558,KG3KD,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-15 11:29:57,2024-02-15,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000302,834151563,834151563,MV799,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-16 15:03:25,2024-02-16,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000302,834152884,834152884,75X1V,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-16 15:03:25,2024-02-16,FY25,Q1,02,WK02,P3,1
CS-DIRKWJ-RC0000303,830402242,830402242,5G4WK,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-19 16:19:21,2024-02-19,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000303,830403109,830403109,57TFT,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-19 16:19:21,2024-02-19,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000304,834151308,834151308,6KR2M,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-19 16:20:21,2024-02-19,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000305,834824201,834824201,6C11W,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-21 13:27:01,2024-02-21,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000306,834827667,834827667,7F8T0,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-21 13:28:01,2024-02-21,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000307,836995009,836995009,53KHR,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-23 16:30:30,2024-02-23,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000307,836995397,836995397,M14MK,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-23 16:30:30,2024-02-23,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000308,836968790,836968790,1YM03,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-02-23 16:31:54,2024-02-23,FY25,Q1,02,WK03,P3,1
CS-DIRKWJ-RC0000309,5000100186,5000100186,CY7GD,BALANCE-IN,DIRTAJ,DIRKWJ,KR,1,2024-02-27 08:58:32,2024-02-27,FY25,Q1,02,WK04,P3,1
CS-DIRKWJ-RC0000310,5000137856,5000137856,TCW38,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-06 18:03:07,2024-03-06,FY25,Q1,03,WK05,P3,1
CS-DIRKWJ-RC0000311,5000223137,5000223137,7RMPY,REPLEN-IN,CHSIN4,DIRKWJ,KR,6,2024-03-06 18:08:14,2024-03-06,FY25,Q1,03,WK05,P3,1
CS-DIRKWJ-RC0000311,5000223226,5000223226,1V2NH,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-06 18:08:14,2024-03-06,FY25,Q1,03,WK05,P3,1
CS-DIRKWJ-RC0000311,5000223614,5000223614,8F34X,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-06 18:08:14,2024-03-06,FY25,Q1,03,WK05,P3,1
CS-DIRKWJ-RC0000311,5000223804,5000223804,PWGKF,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-06 18:08:14,2024-03-06,FY25,Q1,03,WK05,P3,1
CS-DIRKWJ-RC0000312,5000411707,5000411707,T761Y,REPLEN-IN,DIRSEL,DIRKWJ,KR,1,2024-03-07 09:26:43,2024-03-07,FY25,Q1,03,WK05,P3,1
CS-DIRKWJ-RC0000313,5000415663,5000415663,F6FXM,REPLEN-IN,DIRSEL,DIRKWJ,KR,1,2024-03-07 09:28:02,2024-03-07,FY25,Q1,03,WK05,P3,1
CS-DIRKWJ-RC0000314,5000223921,5000223921,1W7HC,REPLEN-IN,CHSIN4,DIRKWJ,KR,2,2024-03-07 18:32:25,2024-03-07,FY25,Q1,03,WK05,P3,1
CS-DIRKWJ-RC0000315,5000223592,5000223592,24PW1,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-07 18:34:24,2024-03-07,FY25,Q1,03,WK05,P3,1
CS-DIRKWJ-RC0000315,5000224006,5000224006,216NK,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-07 18:34:24,2024-03-07,FY25,Q1,03,WK05,P3,1
CS-DIRKWJ-RC0000316,5000266932,5000266932,TFYHP,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-08 15:40:05,2024-03-08,FY25,Q1,03,WK05,P3,1
CS-DIRKWJ-RC0000317,5000468683,5000468683,CY7GD,REPLEN-IN,CHSIN4,DIRKWJ,KR,2,2024-03-11 14:53:43,2024-03-11,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000317,5000469247,5000469247,DF7XH,REPLEN-IN,CHSIN4,DIRKWJ,KR,2,2024-03-11 14:53:43,2024-03-11,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000318,5000404137,5000404137,JXP9N,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-12 14:12:23,2024-03-12,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000319,5000402117,5000402117,1V2NH,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-12 14:17:02,2024-03-12,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000319,5000402743,5000402743,64PJ8,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-12 14:17:02,2024-03-12,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000319,5000403069,5000403069,MFRMH,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-12 14:17:02,2024-03-12,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000319,5000403564,5000403564,09T9G,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-12 14:17:02,2024-03-12,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000319,5000404493,5000404493,1FWTJ,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-12 14:17:02,2024-03-12,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000319,5000404691,5000404691,RWJ7Y,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-12 14:17:02,2024-03-12,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000319,5000404766,5000404766,58X9T,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-12 14:17:02,2024-03-12,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000319,5000405064,5000405064,M14MK,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-12 14:17:02,2024-03-12,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000319,5000405273,5000405273,KMWW8,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-12 14:17:02,2024-03-12,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000320,5000661082,5000661082,228PJ,REPLEN-IN,DIRSEL,DIRKWJ,KR,1,2024-03-14 08:59:09,2024-03-14,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000321,5000661540,5000661540,JMCMN,REPLEN-IN,DIRSEL,DIRKWJ,KR,1,2024-03-14 08:59:45,2024-03-14,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000322,5000403301,5000403301,41DXR,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-14 17:50:01,2024-03-14,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000322,5000403828,5000403828,MT0R5,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-14 17:50:01,2024-03-14,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000323,5000402056,5000402056,5K9NJ,REPLEN-IN,CHSIN4,DIRKWJ,KR,21,2024-03-14 17:51:46,2024-03-14,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000323,5000403609,5000403609,5HYG2,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-14 17:51:46,2024-03-14,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000323,5000470678,5000470678,YCVFG,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-14 17:51:46,2024-03-14,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000324,5000581145,K01-5000576834,M04W6,REPLEN-IN,CSK,DIRKWJ,KR,1,2024-03-15 14:16:00,2024-03-15,FY25,Q1,03,WK06,P3,1
CS-DIRKWJ-RC0000325,5000766618,5000766618,377CF,REPLEN-IN,DIRSEL,DIRKWJ,KR,2,2024-03-18 08:56:27,2024-03-18,FY25,Q1,03,WK07,P3,1
CS-DIRKWJ-RC0000326,5000619299,5000619299,RFGX3,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-19 17:52:11,2024-03-19,FY25,Q1,03,WK07,P3,1
CS-DIRKWJ-RC0000326,5000657997,5000657997,Y577J,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-19 17:52:11,2024-03-19,FY25,Q1,03,WK07,P3,1
CS-DIRKWJ-RC0000326,5000658237,5000658237,4WX8Y,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-19 17:52:11,2024-03-19,FY25,Q1,03,WK07,P3,1
CS-DIRKWJ-RC0000327,5000706846,5000706846,5C61N,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-19 17:53:27,2024-03-19,FY25,Q1,03,WK07,P3,1
CS-DIRKWJ-RC0000328,5000763640,5000763640,1V2NH,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-20 13:56:51,2024-03-20,FY25,Q1,03,WK07,P3,1
CS-DIRKWJ-RC0000329,5000857897,5000857897,6J65H,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-22 10:55:03,2024-03-22,FY25,Q1,03,WK07,P3,1
CS-DIRKWJ-RC0000330,5000967830,5000967830,G9XC9,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-26 15:06:16,2024-03-26,FY25,Q1,03,WK08,P3,1
CS-DIRKWJ-RC0000331,5001066896,5001066896,25VT1,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-28 13:50:18,2024-03-28,FY25,Q1,03,WK08,P3,1
CS-DIRKWJ-RC0000332,5001108054,5001108054,YCVFG,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-03-29 14:17:13,2024-03-29,FY25,Q1,03,WK08,P3,1
CS-DIRKWJ-RC0000333,5001149327,5001149327,T2FR2,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-01 16:57:11,2024-04-01,FY25,Q1,04,WK09,P3,1
CS-DIRKWJ-RC0000334,5000658013,5000658013,3KW3M,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-01 16:57:57,2024-04-01,FY25,Q1,04,WK09,P3,1
CS-DIRKWJ-RC0000335,5001197719,5001197719,216NK,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-01 16:58:41,2024-04-01,FY25,Q1,04,WK09,P3,1
CS-DIRKWJ-RC0000336,5001347647,5001347647,JMCMN,REPLEN-IN,DIRSEL,DIRKWJ,KR,1,2024-04-04 08:57:01,2024-04-04,FY25,Q1,04,WK09,P3,1
CS-DIRKWJ-RC0000337,5001342924,5001342924,YCVFG,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-09 16:03:08,2024-04-09,FY25,Q1,04,WK10,P3,1
CS-DIRKWJ-RC0000337,5001388527,5001388527,K25W7,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-09 16:03:08,2024-04-09,FY25,Q1,04,WK10,P3,1
CS-DIRKWJ-RC0000338,5001510508,5001510508,HTPJ7,REPLEN-IN,DIRSEL,DIRKWJ,KR,1,2024-04-11 09:01:53,2024-04-11,FY25,Q1,04,WK10,P3,1
CS-DIRKWJ-RC0000339,5001420846,5001420846,G2G54,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-11 14:12:02,2024-04-11,FY25,Q1,04,WK10,P3,1
CS-DIRKWJ-RC0000339,5001422184,5001422184,8DN1Y,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-11 14:12:02,2024-04-11,FY25,Q1,04,WK10,P3,1
CS-DIRKWJ-RC0000340,5001561519,5001561519,KM4C4,REPLEN-IN,DIRSEL,DIRKWJ,KR,1,2024-04-12 09:07:00,2024-04-12,FY25,Q1,04,WK10,P3,1
CS-DIRKWJ-RC0000341,5001560266,5001560266,5M8Y4,BALANCE-IN,DIRTAJ,DIRKWJ,KR,1,2024-04-12 09:08:08,2024-04-12,FY25,Q1,04,WK10,P3,1
CS-DIRKWJ-RC0000342,5001478788,K01-5001473952,1CW9G,REPLEN-IN,CSK,DIRKWJ,KR,1,2024-04-12 15:15:59,2024-04-12,FY25,Q1,04,WK10,P3,1
CS-DIRKWJ-RC0000343,5001506918,5001506918,DYMD0,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-12 15:19:03,2024-04-12,FY25,Q1,04,WK10,P3,1
CS-DIRKWJ-RC0000344,5001547561,5001547561,3TM39,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-16 11:52:15,2024-04-16,FY25,Q1,04,WK11,P3,1
CS-DIRKWJ-RC0000345,5001548221,5001548221,29XMF,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-16 11:53:04,2024-04-16,FY25,Q1,04,WK11,P3,1
CS-DIRKWJ-RC0000346,5001546232,5001546232,2ND0R,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-17 13:17:22,2024-04-17,FY25,Q1,04,WK11,P3,1
CS-DIRKWJ-RC0000347,5001792723,5001792723,53KHR,BALANCE-IN,DIRTAJ,DIRKWJ,KR,2,2024-04-18 08:59:00,2024-04-18,FY25,Q1,04,WK11,P3,1
CS-DIRKWJ-RC0000348,5001702641,5001702641,D5C1D,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-18 16:26:26,2024-04-18,FY25,Q1,04,WK11,P3,1
CS-DIRKWJ-RC0000348,5001702847,5001702847,DYMD0,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-18 16:26:26,2024-04-18,FY25,Q1,04,WK11,P3,1
CS-DIRKWJ-RC0000349,5001546061,5001546061,J1CC3,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-18 16:27:10,2024-04-18,FY25,Q1,04,WK11,P3,1
CS-DIRKWJ-RC0000350,5001787188,5001787188,7DWXY,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-23 14:33:00,2024-04-23,FY25,Q1,04,WK12,P3,1
CS-DIRKWJ-RC0000351,5001787711,5001787711,6395V,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-23 14:33:42,2024-04-23,FY25,Q1,04,WK12,P3,1
CS-DIRKWJ-RC0000352,5001964966,5001964966,M04W6,REPLEN-IN,CHSIN4,DIRKWJ,KR,3,2024-04-25 16:29:46,2024-04-25,FY25,Q1,04,WK12,P3,1
CS-DIRKWJ-RC0000353,5002042893,5002042893,HTPJ7,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-04-30 11:47:15,2024-04-30,FY25,Q1,04,WK13,P3,1
CS-DIRKWJ-RC0000354,5002084519,5002084519,377CF,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-05-02 11:57:13,2024-05-02,FY25,Q1,05,WK13,P3,1
CS-DIRKWJ-RC0000354,5002084534,5002084534,53KHR,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-05-02 11:57:13,2024-05-02,FY25,Q1,05,WK13,P3,1
CS-DIRKWJ-RC0000355,5002247211,5002247211,YDM5T,BALANCE-IN,DIRTAJ,DIRKWJ,KR,1,2024-05-03 09:03:58,2024-05-03,FY25,Q1,05,WK13,P3,1
CS-DIRKWJ-RC0000356,5002185848,5002185848,C5HD0,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-05-03 11:37:09,2024-05-03,FY25,Q1,05,WK13,P3,1
CS-DIRKWJ-RC0000357,5002146356,5002146356,W403Y,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-05-03 11:38:35,2024-05-03,FY25,Q1,05,WK13,P3,1
CS-DIRKWJ-RC0000357,5002146950,5002146950,358VV,REPLEN-IN,CHSIN4,DIRKWJ,KR,1,2024-05-03 11:38:35,2024-05-03,FY25,Q1,05,WK13,P3,1
CS-DIRPUS-RC0000364,827909647,827909647,T9HT6,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-07 17:26:33,2024-02-07,FY25,Q1,02,WK01,P3,1
CS-DIRPUS-RC0000365,830542203,830542203,0878M,BALANCE-IN,DIRTAJ,DIRPUS,KR,1,2024-02-08 09:20:04,2024-02-08,FY25,Q1,02,WK01,P3,1
CS-DIRPUS-RC0000366,829129186,829129186,T9HT6,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-08 16:51:05,2024-02-08,FY25,Q1,02,WK01,P3,1
CS-DIRPUS-RC0000367,830525489,830525489,5NHYV,BALANCE-IN,CHTPE1,DIRPUS,KR,1,2024-02-13 17:32:20,2024-02-13,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000368,830401954,830401954,Y68PF,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-13 17:37:59,2024-02-13,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000368,830408488,830408488,CPC7G,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-13 17:37:59,2024-02-13,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000368,830409288,830409288,0T2VM,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-13 17:37:59,2024-02-13,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000368,830415848,830415848,JWV1P,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-13 17:37:59,2024-02-13,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000368,830417992,830417992,KYXVR,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-13 17:37:59,2024-02-13,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000368,830423412,830423412,HV369,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-13 17:37:59,2024-02-13,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000369,833826801,833826801,75X1V,REPLEN-IN,DIRKWJ,DIRPUS,KR,2,2024-02-14 08:57:40,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000370,830402150,830402150,J6MDM,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-14 17:25:30,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000370,830407118,830407118,JT47Y,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-14 17:25:30,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000370,830419691,830419691,6395V,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-14 17:25:30,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000370,830420848,830420848,3M0W1,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-14 17:25:30,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000371,831431166,831431166,216NK,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-14 17:26:33,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000372,831428519,831428519,HTPJ7,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-14 17:30:24,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000372,831433436,831433436,NMT8G,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-14 17:30:24,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000372,831433766,831433766,8F34X,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-14 17:30:24,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000372,831436884,831436884,PWGKF,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-14 17:30:24,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000372,831437106,831437106,75X1V,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-14 17:30:24,2024-02-14,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000373,834150565,834150565,75X1V,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-16 17:04:41,2024-02-16,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000373,834151837,834151837,53KHR,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-16 17:04:41,2024-02-16,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000373,834153684,834153684,JY57X,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-16 17:04:41,2024-02-16,FY25,Q1,02,WK02,P3,1
CS-DIRPUS-RC0000374,831432941,831432941,CMPGM,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-19 16:23:03,2024-02-19,FY25,Q1,02,WK03,P3,1
CS-DIRPUS-RC0000375,835480573,835480573,XYHWN,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-21 17:27:59,2024-02-21,FY25,Q1,02,WK03,P3,1
CS-DIRPUS-RC0000376,834820902,834820902,75X1V,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-21 17:28:59,2024-02-21,FY25,Q1,02,WK03,P3,1
CS-DIRPUS-RC0000377,837684131,837684131,Y8P9X,BALANCE-IN,DIRKWJ,DIRPUS,KR,1,2024-02-22 09:07:27,2024-02-22,FY25,Q1,02,WK03,P3,1
CS-DIRPUS-RC0000378,830564413,830564413,7F8T0,BALANCE-IN,CHMAC1,DIRPUS,KR,1,2024-02-22 16:48:54,2024-02-22,FY25,Q1,02,WK03,P3,1
CS-DIRPUS-RC0000379,837005147,837005147,75X1V,REPLEN-IN,CHSIN4,DIRPUS,KR,2,2024-02-23 16:36:11,2024-02-23,FY25,Q1,02,WK03,P3,1
CS-DIRPUS-RC0000380,836992048,836992048,7F8T0,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-23 16:37:22,2024-02-23,FY25,Q1,02,WK03,P3,1
CS-DIRPUS-RC0000381,5000008821,5000008821,P2MYX,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-26 18:07:48,2024-02-26,FY25,Q1,02,WK04,P3,1
CS-DIRPUS-RC0000381,5000009046,5000009046,P2MYX,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-26 18:07:48,2024-02-26,FY25,Q1,02,WK04,P3,1
CS-DIRPUS-RC0000381,5000009075,5000009075,HNDJ7,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-26 18:07:48,2024-02-26,FY25,Q1,02,WK04,P3,1
CS-DIRPUS-RC0000382,5000007689,5000007689,M04W6,REPLEN-IN,CHSIN4,DIRPUS,KR,2,2024-02-27 17:21:14,2024-02-27,FY25,Q1,02,WK04,P3,1
CS-DIRPUS-RC0000383,5000121789,5000121789,6J65H,REPLEN-IN,DIRSEL,DIRPUS,KR,1,2024-02-28 08:56:40,2024-02-28,FY25,Q1,02,WK04,P3,1
CS-DIRPUS-RC0000384,5000050504,5000050504,7V563,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-02-28 17:18:28,2024-02-28,FY25,Q1,02,WK04,P3,1
CS-DIRPUS-RC0000385,5000137807,5000137807,1H7HR,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-03-04 18:16:29,2024-03-04,FY25,Q1,03,WK05,P3,1
CS-DIRPUS-RC0000386,5000182636,5000182636,CM88M,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-03-06 18:12:51,2024-03-06,FY25,Q1,03,WK05,P3,1
CS-DIRPUS-RC0000386,5000182644,5000182644,P5HDY,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-03-06 18:12:51,2024-03-06,FY25,Q1,03,WK05,P3,1
CS-DIRPUS-RC0000387,5000138831,5000138831,KTJTY,REPLEN-IN,CHSIN4,DIRPUS,KR,1,2024-03-06 18:13:57,2024-03-06,FY25,Q1,03,WK05,P3,1
CS-DIRPUS-RC0000388,5000416250,5000416250,7F8T0,BALANCE-IN,DIRTAJ,DIRPUS,KR,1,2024-03-07 09:12:45,2024-03-07,FY25,Q1,03,WK05,P3,1
